队伍名,人头,排名分,第一局总分,,队伍名,人头,排名分,第二局总分,,队伍名,人头,排名分,第三局总分,,队伍名,人头,排名分,第四局总分,,队伍名,人头,排名分,第五局总分,,总总分,总总排名
1,0,2,2,,1,1,0,1,,1,0,0,0,,1,2,5,7,,1,9,2,11,,21,10
2,3,2,5,,2,4,5,9,,2,1,0,1,,2,0,0,0,,2,1,3,4,,19,11
3,1,3,4,,3,0,1,1,,3,4,5,9,,3,0,4,4,,3,0,9,9,,27,5
4,0,1,1,,4,0,0,0,,4,11,9,20,,4,0,1,1,,4,0,1,1,,23,9
5,3,0,3,,5,1,1,2,,5,2,1,3,,5,3,2,5,,5,3,2,5,,18,14
6,0,0,0,,6,2,0,2,,6,8,1,9,,6,9,3,12,,6,1,1,2,,25,6
7,4,5,9,,7,3,1,4,,7,0,1,1,,7,3,1,4,,7,0,1,1,,19,11
8,4,3,7,,8,0,0,0,,8,0,2,2,,8,0,0,0,,8,7,2,9,,18,14
9,1,4,5,,9,2,1,3,,9,1,1,2,,9,3,1,4,,9,0,0,0,,14,18
10,0,0,0,,10,0,0,0,,10,3,2,5,,10,0,1,1,,10,0,1,1,,7,19
11,13,12,25,,11,10,3,13,,11,13,3,16,,11,27,12,39,,11,1,0,1,,94,2
12,1,7,8,,12,1,2,3,,12,1,4,5,,12,0,9,9,,12,1,4,5,,30,4
13,21,9,30,,13,14,12,26,,13,4,7,11,,13,3,2,5,,13,24,12,36,,108,1
14,0,1,1,,14,0,7,7,,14,2,2,4,,14,4,7,11,,14,1,0,1,,24,7
15,3,1,4,,15,4,4,8,,15,0,0,0,,15,0,0,0,,15,3,3,6,,18,14
16,0,0,0,,16,1,1,2,,16,0,3,3,,16,2,3,5,,16,3,5,8,,18,14
17,2,1,3,,17,1,2,3,,17,0,0,0,,17,0,0,0,,17,0,0,0,,6,20
18,3,1,4,,18,10,2,12,,18,0,0,0,,18,1,2,3,,18,4,1,5,,24,7
19,2,2,4,,19,0,3,3,,19,0,1,1,,19,0,1,1,,19,3,7,10,,19,11
20,0,0,0,,20,7,9,16,,20,8,12,20,,20,0,0,0,,20,2,0,2,,38,3
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,排名,队伍,,,,,,,,,,,,,,
,,,,,,,,1,,,8,1,,,,,,,,,,,,,,
,,,,,,,,2,,,6,2,,,,,,,,,,,,,,
,,,,,,,,3,,,2,3,,,,,,,,,,,,,,
,,,,,,,,4,,,15,4,,,,,,,,,,,,,,
,,,,,,,,5,,,10,5,,,,,,,,,,,,,,
,,,,,,,,6,,,12,6,,,,,,,,,,,,,,
,,,,,,,,7,,,14,7,,,,,,,,,,,,,,
,,,,,,,,8,,,9,8,,,,,,,,,,,,,,
,,,,,,,,9,,,19,9,,,,,,,,,,,,,,
,,,,,,,,10,,,11,10,,,,,,,,,,,,,,
,,,,,,,,11,,,20,11,,,,,,,,,,,,,,
,,,,,,,,12,,,5,12,,,,,,,,,,,,,,
,,,,,,,,13,,,1,13,,,,,,,,,,,,,,
,,,,,,,,14,,,17,14,,,,,,,,,,,,,,
,,,,,,,,15,,,7,15,,,,,,,,,,,,,,
,,,,,,,,16,,,4,16,,,,,,,,,,,,,,
,,,,,,,,17,,,16,17,,,,,,,,,,,,,,
,,,,,,,,18,,,13,18,,,,,,,,,,,,,,
,,,,,,,,19,,,3,19,,,,,,,,,,,,,,
,,,,,,,,20,,,18,20,,,,,,,,,,,,,,
